Intensity,Wavelength,Spectrum,Ref
30P,3071.584,BaI,KL99
80P,3501.108,BaI,KL99
20P,3891.779,BaII,KL99
25P,4130.649,BaII,KL99
9,4132.427,BaI,KL99
3,4166.001,BaII,KL99
30,4283.097,BaI,KL99
2,4524.926,BaII,KL99
1000P,4554.033,BaII,KL99
6,4899.927,BaII,KL99
300P,4934.077,BaII,KL99
1000P,5535.481,BaI,KL99
80,5777.619,BaI,KL99
40,5853.675,BaII,KL99
80,5997.087,BaI,KL99
250,6110.783,BaI,KL99
300P,6141.713,BaII,KL99
200P,6496.898,BaII,KL99
250P,6498.760,BaI,KL99
110P,6527.312,BaI,KL99
100P,6595.325,BaI,KL99
50,6675.270,BaI,KL99
50P,6693.842,BaI,KL99
9,6865.686,BaI,KL99
200P,7059.943,BaI,KL99
30,7120.331,BaI,KL99
9,7195.230,BaI,KL99
150P,7280.296,BaI,KL99
15,7392.405,BaI,KL99
25,7488.075,BaI,KL99
80P,7672.085,BaI,KL99
50,7780.478,BaI,KL99
25,7905.747,BaI,KL99
12,7911.329,BaI,KL99
9,8210.239,BaI,KL99
60P,8559.998,BaI,KL99
8,8915.013,BaI,KL99
50,9370.119,BaI,KL99
15,9608.894,BaI,KL99
