Intensity,Wavelength,Spectrum,Ref
70,3021.498,HgI,BAL50
90,3125.668,HgI,BAL50
80,3131.548,HgI,BAL50
80,3131.839,HgI,BAL50
12,3208.169,HgII,SR01
10,3532.594,HgII,SR01
10,3605.762,HgII,SR01
600P,3650.153,HgI,BAL50
70,3654.836,HgI,BAL50
50,3663.279,HgI,BAL50
1000Pc,3983.931,HgII,SR01
400P,4046.563,HgI,BAL50
60,4339.223,HgI,BAL50
100,4347.494,HgI,BAL50
1000P,4358.328,HgI,BAL50
12c,5128.442,HgII,SR01
15,5204.768,HgII,SR01
80P,5425.253,HgII,SR01
500P,5460.735,HgI,BAL50
200P,5677.105,HgII,SR01
50,5769.598,HgI,BAL50
60,5790.663,HgI,BAL50
12,5871.279,HgII,SR01
20c,5888.939,HgII,SR01
15,6146.435,HgII,SR01
250Pc,6149.475,HgII,SR01
25,7081.90,HgI,F54
6,7346.508,HgII,SR01
250P,7944.555,HgII,SR01
6h,9520.198,HgII,SR01
